Joint_angle	BD101	BD102	BD103	BD104	BD106	BD107	BD109	BD110	BD111	BD112	CON3	CON5	CON6	CON7	CON10	CON13	CON24	CON28	CON29	CON31
0	90.0979134478567	88.3959061491083	91.0767779287914	90.924345798991	93.1656930118669	88.3670892960278	93.2618921672758	88.4853853929208	89.5304357570621	89.0651750496585	92.3533926642971	94.5059507529156	93.6558864014736	94.7665547261301	92.884850367954	91.107132888476	90.5396541830461	91.9327197803135	91.2883035418293	91.8322558256874
0.5	90.1985217756348	88.4829074628813	91.0914671762658	91.0092675597571	93.2162940978414	88.4141767440764	93.326928487374	88.527281568846	89.5807029937737	89.1357077884333	92.403732491388	94.573841309055	93.7462902483589	94.8075439265064	92.9709109489308	91.2193741185524	90.591423436221	92.011871846797	91.3815332247265	91.8558165913641
1	90.2993897313555	88.5664783830806	91.1353734087625	91.0907777345648	93.2519016997861	88.459254127713	93.3880918178688	88.5808757467798	89.6321142390211	89.1892019388083	92.435538030969	94.6692365240454	93.8268808304516	94.8359054602994	93.0551662748012	91.3172556807826	90.6669011572339	92.0815117344501	91.4741790792306	91.8815316382994
1.5	90.4285643915545	88.6726568985086	91.1647720083463	91.1853248121549	93.281220362205	88.5192779071389	93.4422054782118	88.6433874504531	89.6887203754575	89.2274878981938	92.4884783317838	94.7253719034705	93.9001140428082	94.8809326249645	93.1292918672342	91.4136615031992	90.7371277701741	92.1299768971953	91.5631733889559	91.904998263872
2	90.5485134163926	88.7519990975735	91.2156950504659	91.2816325677239	93.2855880244085	88.6046215170262	93.4933230458015	88.7015646269664	89.7651492267878	89.2827779429727	92.5338236275425	94.7947336392915	93.9884601040203	94.9297269762192	93.2072274404879	91.5050874901947	90.7906587689291	92.2172754292251	91.6487386407006	91.9363684356281
2.5	90.6414553022812	88.8191135709755	91.2631755856492	91.3618774628706	93.330005812105	88.6685840629391	93.533732158539	88.7562233547627	89.8448667518194	89.3037677032111	92.5987281865143	94.8755512236351	94.0827132805343	94.9780225555409	93.2914982415484	91.5937190162597	90.8521516511367	92.3229149286381	91.740696530145	91.9704263127944
3	90.7585734370905	88.8942311585333	91.295229335104	91.4523416257762	93.3629452478139	88.7606418036204	93.567232133705	88.8238937811426	89.9432776168557	89.3408080499067	92.655929164945	94.9381177512364	94.1724873112229	95.0159207661728	93.3740588918758	91.6811034552644	90.9088864536357	92.4117858344501	91.8168553504961	92.0051311133578
3.5	90.8479101540253	88.9725435914764	91.3354659320559	91.5354265094584	93.4088214363747	88.8429228166976	93.6318119456681	88.8906908143311	90.0158297965432	89.3960775338573	92.689258563724	95.000401449151	94.2660837821565	95.0495166736037	93.455913409436	91.7595817414904	90.9616019112001	92.512096306525	91.9033531949987	92.038464046865
4	90.9448583037895	89.04349402738	91.3714782205869	91.6277211635827	93.4382648313552	88.9200564574711	93.6921267604741	88.9341288316662	90.0782669733915	89.4474759947537	92.7408984726782	95.0518414469157	94.3462324757406	95.0852636603846	93.5247161881795	91.8610657469382	91.0211863818319	92.5875318298906	92.013896665372	92.0815783927146
4.5	91.0326615288242	89.1346302213948	91.4098296237399	91.7126364048826	93.464339972364	88.9902265689991	93.7494247265316	88.9769040167404	90.145814185621	89.5009742421296	92.7842075448788	95.0986989875859	94.432174742369	95.1372174880439	93.5990285260077	91.9580869039194	91.0964478671933	92.6606994512004	92.1088603929547	92.1166957491572
